Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level
Application Security Engineer,Zdalnie,27720,33600,"Security, Python, BlackDuck, Nexus IQ",Avenga,Senior
Senior Data Engineer,Gdynia,25200,30240,"Data, Python, Spark, Big data",emagine Sp. Z o.o.,Senior
Senior Generative AI Data Scientist,Warszawa,14280,28560,"AI/ML, Python, AI, Data science",Spyrosoft,Senior
Mid AI/ML Engineer - 100% Remote,Zdalnie,10000,15000,"AI/ML, Python, TensorFlow, Machine learning",Camino Science sp. z o.o.,Mid
ML engineer / Data Scientist,Zdalnie,20160,21840,"Data, Python, MLOps, UI",ITFS Sp. z o.o.,Mid
Remote Junior/Mid Cloud Infrastructure Specialist / Infrastructure Operations Specialist,Zdalnie,10250,20501,"DevOps, Python, Bash, UNIX/Linux",Talentica,Mid
Senior Cloud DevOps Engineer,Kraków,15000,21000,"DevOps, Python, Cloud, Cloud platform",Motorola Solutions Systems Polska,Senior
Site Reliability Engineer Senior,Zdalnie,19000,20000,"DevOps, Python, Linux, Python/Golang",Akamai,Senior
Senior Site Reliability Engineer,Zdalnie,19000,20000,"DevOps, Python, Linux, Python/Golang",Akamai,Senior
Site Reliability Engineer (Mid),Zdalnie,13000,14000,"DevOps, Python, Linux, Python/Golang",Akamai,Mid
Data Scientist,Zdalnie,16000,18000,"Data, Python, SQL, AWS",Commerce Media Tech,Senior
Senior AI / GenAI Engineer,Zdalnie,25831,36901,"AI/ML, Python, Azure, ML",N-iX,Senior
Senior Test Automation Engineer,Gdańsk,27720,27720,"Testing, Python, SQL, ETL",emagine Sp. Z o.o.,Senior
Engineering Manager (AI & Big Data),Zdalnie,24000,30000,"AI/ML, Python, Team management, Technical background",Addepto,Senior
Middle/Senior Data Engineer,Zdalnie,16400,21526,"Data, Python, SQL, AWS",N-iX,Mid
Senior DevOps Engineer,Zdalnie,32000,42000,"DevOps, Python, GCP, K8s",RTB House,Senior
DevOps Engineer,Warszawa,25000,30000,"DevOps, Python, Azure, Azure Cloud",Respect Energy Fuels,Mid
Junior DevOps Engineer,Zdalnie,7000,12000,"DevOps, Python, Terraform, K8s",SlickCloud,Junior
Project Manager (AI & Big Data)  NOWA,Zdalnie,18000,26000,"AI/ML, Python, Project management, Team management",Addepto,Senior
Power Engineer with basic Python  NOWA,Zdalnie,7200,14400,"Data, Python, Data science, Power Engieering",Boneffice System,Mid
Senior Fullstack Developer (React + Python)  NOWA,Gdańsk,22680,27216,"Fullstack, Python, React, Material UI",Bright Inventions,Senior
AWS Fullstack Developer React + Python,Zdalnie,16400,20501,"Fullstack, Python, React, AWS",Excedo Services sp. z o.o.,Mid
"Financial Data Engineer (Python, SQL)",Zdalnie,15120,19320,"Data, Python, SQL, Git",SoftKraft,Mid
Senior Java/Python Developer,Zdalnie,16800,23520,"Backend, Python, Java, Degree",Sopra Steria Poland,Senior
DevOps Engineer  NOWA,Zdalnie,21000,33600,"DevOps, Python, AWS, Terraform",Cognitran,Senior
.NET Core Cloud Engineer (CommandCental Drive)  NOWA,Kraków,15000,18000,"Backend, Python, .NET, Cloud",Motorola Solutions Systems Polska,Senior
Security Architect  NOWA,Kraków,28560,33600,"Architecture, Python, C, C++",Devire,Senior
Middle/Senior C++ Software Engineer  NOWA,Zdalnie,16000,21000,"Backend, Python, C++, Build tools like CMake",SoftServe,Mid
Data Engineer  NOWA,Zdalnie,28000,32000,"Data, Python, Azure, Data pipelines",AVENGA,Senior
Expert/Senior DevOps Engineer - Cross Platform Team  NOWA,Warszawa,12000,22000,"DevOps, Python, RedHat, CoreOS",ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,Senior
GCP Platform Engineer  NOWA,Zdalnie,15120,17472,"DevOps, Python, GCP, Terraform",ITFS Sp. z o.o.,Mid
Inżynier DevOps  NOWA,Zdalnie,25200,25200,"DevOps, Python, Ansible, Terraform",emagine Sp. Z o.o.,Mid
Software Engineer with C and Linux Device Drivers  NOWA,Zdalnie,13000,23000,"Embedded, Python, C, PyATS",CodiLime,Mid
Delphi Developer  NOWA,Zdalnie,21000,21000,"Backend, Python, Delphi, CI/CD",Sii Polska,Senior
Senior Data Scientist  NOWA,Zdalnie,27714,28608,"Data, Python, AWS, MLOps",SNI,Senior
Business Analyst (IT and Regulatory Reporting)  NOWA,Warszawa,27000,30000,"Business Analysis, Python, Business analysis, Project management",Antal,Senior
Cyber Security Analyst - Remote  NOWA,Zdalnie,16800,21840,"Security, Python, SQL, Splunk",Link Group,Mid
