Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level,Job Link
Senior Data Scientist Generative AI,Zdalnie,20 000,30 000,"AI/ML, Python, CV, NLP",SoftServe,Senior,https://nofluffjobs.com/pl/job/senior-data-scientist-generative-ai-softserve-remote-3
Senior Data Scientist,Warszawa,29 000,36 833,"Data, Python, SQL, Data science",Asana,Senior,https://nofluffjobs.com/pl/job/senior-data-scientist-asana-warszawa-1
Senior Data Engineer,Wrocław,24 700,27 700,"Data, Python, Data pipelines, Machine learning",AVENGA,Senior,https://nofluffjobs.com/pl/job/senior-data-engineer-avenga-wroclaw-1
Software Engineer,Zdalnie,13 000,18 000,"Backend, Python, PHP, Sympfony",Enzode,Mid,https://nofluffjobs.com/pl/job/software-engineer-enzode-remote
Data Analyst Germany (Hybrid Berlin) MID and Senior,Berlin,26 820,26 820,"Data, Python, Degree, Data science",Link Group,Senior,https://nofluffjobs.com/pl/job/data-analyst-germany-hybrid-berlin-mid-and-senior-link-group-berlin
2nd Line Support Engineer (Hybrid – Berlin),Berlin,13 410,17 880,"Support, Python, Cloud platform, Commvault",Link Group,Senior,https://nofluffjobs.com/pl/job/2nd-line-support-engineer-hybrid-berlin-link-group-berlin
Compute Engineer (Hybrid – Berlin),Berlin,17 880,26 820,"Fullstack, Python, Windows Server, VMware",Link Group,Senior,https://nofluffjobs.com/pl/job/compute-engineer-hybrid-berlin-link-group-berlin
Integration Developer (TIBCO BA) - Remote,Zdalnie,16 800,20 160,"DevOps, Python, TIBCO, Automated testing",Link Group,Senior,https://nofluffjobs.com/pl/job/integration-developer-tibco-ba-remote-link-group
Senior Full Stack Developer (NodeJS/React),Zdalnie,28 701,30 751,"Fullstack, Python, Node.js, React",Adaptiq,Senior,https://nofluffjobs.com/pl/job/senior-full-stack-developer-nodejs-react-adaptiq-remote
Junior Fullstack Developer,Warszawa,7 500,15 000,"Fullstack, Python, JavaScript, SQL",DIALO sp. z o.o.,Junior,https://nofluffjobs.com/pl/job/junior-fullstack-developer-dialo-warszawa
Middle Data Engineer (AWS),Zdalnie,Not specified,Not specified,"Data, Python, AWS, angielski",Provectus,Mid,https://nofluffjobs.com/pl/job/middle-data-engineer-aws-provectus-remote
Application Security Engineer,Zdalnie,Not specified,Not specified,"Security, Python, Azure, Secure_SDLC",Intellias,Mid,https://nofluffjobs.com/pl/job/application-security-engineer-intellias-remote
